cell_id,lat,lon,horizon_hours,forecast_aqi,severity,priority_band,dominant_source,confidence,priority_score,recommended_action,evidence
1437,28.848718,77.369231,48,66.0,Low,MEDIUM,Traffic/Roads,0.576,52.44,Deploy traffic police,"AQI=66.0, source=Traffic/Roads (99.6%), confidence=58%"
1518,28.874359,77.384615,24,69.1,Low,MEDIUM,Traffic/Roads,0.545,52.416666666666664,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=55%"
162,28.451282,76.830769,72,101.5,Moderate,MEDIUM,Traffic/Roads,0.593,52.39666666666666,Deploy traffic police,"AQI=101.5, source=Traffic/Roads (68.1%), confidence=59%"
694,28.617949,77.015385,48,99.9,Low,MEDIUM,Traffic/Roads,0.679,52.39,Deploy traffic police,"AQI=99.9, source=Traffic/Roads (60.8%), confidence=68%"
589,28.579487,77.246154,72,120.4,Moderate,MEDIUM,Construction/Dust,0.624,52.38666666666667,Dust suppression,"AQI=120.4, source=Construction/Dust (49.2%), confidence=62%"
1423,28.848718,77.153846,72,130.8,Moderate,MEDIUM,Construction/Dust,0.51,52.38,Dust suppression,"AQI=130.8, source=Construction/Dust (51.9%), confidence=51%"
907,28.682051,77.215385,24,145.9,Moderate,MEDIUM,Traffic/Roads,0.47,52.376666666666665,Deploy traffic police,"AQI=145.9, source=Traffic/Roads (43.3%), confidence=47%"
827,28.65641,77.215385,72,138.1,Moderate,MEDIUM,Construction/Dust,0.519,52.376666666666665,Dust suppression,"AQI=138.1, source=Construction/Dust (44.9%), confidence=52%"
1502,28.874359,77.138462,48,108.1,Moderate,MEDIUM,Industry,0.727,52.376666666666665,Inspect industrial units,"AQI=108.1, source=Industry (49.1%), confidence=73%"
895,28.682051,77.030769,24,118.3,Moderate,MEDIUM,Industry,0.688,52.37666666666666,Inspect industrial units,"AQI=118.3, source=Industry (44.5%), confidence=69%"
1477,28.861538,77.369231,72,70.5,Low,MEDIUM,Traffic/Roads,0.531,52.370000000000005,Deploy traffic police,"AQI=70.5, source=Traffic/Roads (100.0%), confidence=53%"
1340,28.823077,77.107692,72,98.8,Low,MEDIUM,Industry,0.722,52.36666666666667,Inspect industrial units,"AQI=98.8, source=Industry (57.3%), confidence=72%"
790,28.64359,77.261538,72,141.5,Moderate,MEDIUM,Traffic/Roads,0.466,52.36333333333334,Deploy traffic police,"AQI=141.5, source=Traffic/Roads (47.3%), confidence=47%"
